playername,timeplayed,gamesplayed,errors,RMSE,a,b,c
4lineclear,792,3861,[],15.374636082304256,-0.000896499632388622,3.478309762411767,13.068416189259581
4thDT,441,299,[],11.588492473384504,-0.004238305366159764,4.131986181926634,46.88727202911723
541hans,177,3182,[],6.499066455042132,-0.0034751623454198216,3.155271246263805,31.64000970883309
57x2,398,1186,[],12.034484296736728,-0.01945655425047742,3.053686273089092,55.26699936655004
5963663a,1129,233,[],12.549403587013646,-0.010638560453601238,3.1697145400683153,36.393684568843064
5am,887,18277,[],5.059467076289144,-0.005483303307177126,3.365207359308406,46.67186021494095
5SS5S,550,643,[],9.744965694739646,-0.016254210488851326,2.749251406761247,62.80924966802887
5upFan,510,385,[],22.96133287451075,-8.235172939633177e-05,7.011241361707514,-999.9999525100038
6-3,937,446,[],5.153304024118702,-1.5113063366049957e-05,5.400997961867264,-181.98772835423907
63training,223,1711,[],4.927908652322802,-4.263004930479855e-05,6.951785321450564,-999.9999868539905
74321748,137,581,[],11.094541778504706,-0.0002290005655072229,6.3319640977659155,-498.21604987945165
77zi,536,523,[],14.780570206761865,-0.012219522851840935,2.4791433969261862,40.45784118198543
79797979,295,426,[],8.916039680082156,-0.010144028900201389,1.2986502489401208,27.255655409381422
7sonaldo7,901,2414,[],5.51637550092022,-0.026682039015780704,3.011947629682524,41.996615407562885
7시내고향,878,238,[],9.321127118765693,0.001812256219813489,1.6499663885477693,49.236944915610096
8202gooley,298,8232,[],5.709638901979715,-0.00993596322452668,3.0145018118252906,32.828345498195446
857857,1069,5411,[],24.402572893265276,-0.016975994255216377,3.8526777769031817,60.59480430465606
948AM,739,414,[],57.756075457048624,-6.24599043621083e-05,6.992745386760217,-999.9999991854706
A-NI,649,1526,[],9.58263492718743,2.860366038452417e-06,3.9955665342681708,1.2959729290393718
A-Once,622,18099,[],6.443814552394389,-0.02120236649114071,2.0509089102429794,52.749841959726815
a2milk,732,5092,[],5.3366648780339165,-0.0044372008514348,3.6782388273489874,41.707402323255046
a5_is_simple,855,2814,[],6.974350579180798,-0.016615820672795104,3.1864670934508763,54.88883230624012
a910,219,496,[],3.4207729587668543,-0.014366079195842358,3.3823054204731515,35.88930423276255
aaa,1600,8517,[],30.870909740902334,-0.00376008950301305,4.1356765192447575,34.35569713623276
aaaaaaaagaa,1327,4094,[],15.008338888490574,-3.989128293170408e-06,6.926712107974167,-960.5932990619509
aaamaaaa,216,371,[],9.280172956798745,-3.464711550413432e-05,5.871259897110674,-299.8369283203296
aaarman,1139,1047,[],15.840203890763423,-0.007756570887329647,4.051355507334108,82.96352267052544
Aagames,584,2482,[],12.64960041560779,-0.024078791628815092,3.252344951998466,32.603507881976476
AAni,84,361,[],9.534568556654145,0.04763386862864012,-1.2225948748074351,53.65491302991985
AaryanDatBoi,394,298,[],16.2755777063807,-6.678780139086838e-05,6.989192336839859,-999.9999992983622
ab8787ab,421,572,[],70.5344912246563,0.00011050502959725021,6.990841742678363,-999.9985910374442
Abacate,969,2438,[],20.522660721222397,-0.03125192273143151,3.928775427173573,61.79238625003209
ABadTetrisFan,1414,469,[],7.849963842831886,-4.027690831878872e-05,7.006522622297506,-999.9999996730334
abazibiz,1199,12654,[],8.677918514916808,-0.0009079569317925776,4.399573458457012,12.464085045639253
ABC8787,1783,392,[],4.766196689680033,-0.0005648492338286887,2.2737276950396,28.44046811106086
abcde,1241,220,[],9.223018886934371,0.0005194147750549979,1.9609922314089865,33.70141078045778
abcdqd,1842,1285,[],10.177865354133413,1.1157475379364915e-05,6.764715926632568,-840.05403150206
abctoz,1801,3174,[],61.19803735619146,-1.1064190881795124e-05,6.981273278408497,-999.9999493666595
Abe,1022,5125,[],20.715580499690198,-0.0003925036245837434,4.950521712711714,-46.409679028705426
ABMODEL,415,3304,[],5.769616121705856,-0.0074957954862556915,4.031830987372837,35.76446423148522
abvQ,1564,6811,[],44.12743422254149,-2.8745734041197122e-05,6.303497287883286,-472.7030516016145
Ace1368,1193,284,[],21.058857928694803,-0.0010313896565695736,4.136837231358148,31.12186140818496
AceArrow,1137,681,[],7.539916356708496,-0.001110460476491064,2.842825406606829,46.83719175934641
AcemiUsta,725,252,[],15.887170099821903,-0.023626022724748882,3.3161704114168638,62.000158250797895
AceWhite1010,790,447,[],12.759517857379809,-0.0004211231377283355,4.663314237600013,-27.308654364381816
Acid-,379,397,[],9.674312662584192,-0.02429912523693243,4.218628408812907,60.64681324873909
Aclizia,1219,1394,[],38.23263683243984,-0.012967236241920116,4.190512480091797,65.58866515084839
AcraigSed,1166,12572,[],6.385762464595546,-0.009177340747046922,3.174525941728956,56.828443158539
acrophobia,710,1119,[],6.565359272536371,-0.027140439960873567,2.883053729959315,49.38640380997647
ActinalWhomp,928,3526,[],5.219202411146659,-0.009274119267910852,2.0197612724988376,43.37653071241561
Adaapt,1193,2733,[],5.71473554679379,-0.0022341597930554498,3.97099481952208,33.65525155428454
adam3560,476,967,[],11.380109200305096,-0.00045919379981538286,4.333700379188515,1.2607618022894327
Adaptelsin,1182,1568,[],5.959071882687233,-0.007248229106152482,2.277064285419413,49.53131770117397
AddTagHere,1239,1704,[],16.85935080729224,-0.0032725507244433763,3.3098306069712295,28.625765809187325
aden12131,1177,933,[],4.199564494755997,-0.006383933448955369,3.4208916141618095,37.50818669535088
adilicious,1277,15533,[],41.59916315210074,-0.0038736007576107,2.9143369321566683,50.13191698596887
Adm131,651,423,[],11.548005970845349,-0.03260503771269194,4.528989430169258,47.41083990434846
Admiral_Firebolt,1136,4715,[],6.689854598494777,-0.0033811638709174245,3.4210001544293878,36.866725372295306
ADMlN,884,2864,[],13.566370976580517,-0.008712635380127407,1.0053437376807741,51.24700492564408
Adrianeczko20,747,1547,[],15.475511195263847,3.45222640208402e-05,6.961295802077608,-999.6950065275277
AdrianMzzzj,428,3232,[],736.9186715180515,0.006282295485733333,1.627337463590017,37.92445179327147
Adrielus,665,2987,[],8.992280906532347,-0.03132374094051555,3.716463473361224,50.22098914641985
adron11,1241,3949,[],26.105600968857566,-0.014535970309958545,4.9095575994818486,55.61634260061119
adsl,1288,384,[],9.323994555832211,-0.005355169622007975,1.186389611947597,56.05631862241403
Adulong,452,1330,[],49.90683293667579,-0.00621789858179964,3.9462580196951,40.739321854475
AedanTS,1082,1101,[],10.208345517202119,-0.011539583522447818,3.984983554145344,41.82443295259955
aehreg,690,328,[],21.185738462995854,-0.002978079019249819,3.134943699088776,48.22536118034681
aeriallt,1137,4633,[],24.653061072417223,-2.9967428200666222e-05,6.996480577852459,-999.9999994838646
Aerio,732,18195,[],8.812067322522523,-0.0034347050767565847,3.3857250611539063,24.38330849213076
Aerozone,708,213,[],20.404670743971142,-0.0042189442221024194,3.726704389470931,42.59701908321112
Aestin,498,508,[],11.757641558619424,-0.007545224825097103,3.7445541155843602,55.78572883819973
aethervibes,810,317,[],13.44071940595368,-0.012189308152031762,4.819372899753221,46.21483027538447
aeulis,1479,3360,[],82.05994334796549,-0.012891604838152616,5.111070857826484,43.676380511581506
afatninja1,1198,1202,[],9.472246612117463,-0.0033076274476963857,3.136168324849142,42.92985971696829
AffectionateCurry,1219,744,[],8.403934860515482,-0.014258883143549712,2.8486924012605654,43.230873549792314
Affezippel,1557,4284,[],6.154680068346186,-0.004469041552132878,2.315862219265939,34.95165612918415
AfterHanabi,608,4251,[],3.1831287002280186,-0.00920085648333387,2.621475086112611,40.95192607985415
AFTVJAEBOON,149,548,[],11.302242965278426,6.328533633135986e-05,5.084132771675559,-97.27476981786934
agar02,746,660,[],986.75871628042,0.0027669729315727308,4.650532617528643,-116.2631721513834
AgasthyaS,710,3468,[],23.183798454211555,4.7016141252880085e-05,5.340951831882855,-142.0727705040394
AGcuber,1250,1671,[],10.188928000471275,-3.409769557891101e-05,6.978270690812326,-994.3711024311203
AgentAbby,885,1522,[],6.3188036199961495,-0.004109367706716665,3.856516479129819,40.52227564388916
AgentBasey,882,1445,[],6.298867949464173,-0.007106186336090397,3.720346244165657,46.8802971317679
Agrais,1793,1631,[],16.567434789287972,-0.0009933589987772694,2.991365386944645,29.988355531430617
Agrippa,252,228,[],2.299351241862342,-1.995240948942935e-05,6.200453321516799,-451.4429856401435
Ahao,1226,283,[],4.535463788191406,-0.039822934182100186,1.829873727523555,42.17317776077664
aHelpfulFox,1223,2975,[],12.355105998742602,-9.181388857221909e-06,6.961529102305324,-999.9999923691405
ahurpdurp,1385,900,[],5.226226406344524,-0.009569820979329832,2.928643587676214,40.660591561461416
ah_no_ah,1103,565,[],15.751292904343734,-0.003524437895849039,3.806657901107947,53.7453832475865
aikayu1op,1021,1007,[],9.603556847975161,-0.011993530474362933,3.7445752466662325,43.75727094514014
ailderwitha,1242,2066,[],15.665099129543822,-0.010790953536144062,2.137483811375199,54.0314266627482
ailtonn,626,548,[],16.085230364749528,-0.007144363374362537,4.575741866712815,53.59806861499411
Air-Enjoyer,420,340,[],9.63273979282337,-0.007214677452237623,3.5739991477945288,44.14553956606393
airey1507,1201,45239,[],3.502899132125119,-0.013795817650722098,1.8750297149629722,39.16754120305033
Airhawk40,823,1751,[],4.4302485969757575,-0.01961830541536586,3.2748734740462035,49.84456356724717
airplane,1065,9114,[],7.691740383371668,-0.014457454775469761,3.9445199221337774,39.63995996744875
Airus,1138,2885,[],7.811970903510104,0.013267173043112023,-13.079015830163447,58.59491509713184
aj105,845,2339,[],4.6777398936496795,-0.009747448545962375,2.390837425985592,44.58988353644546
aj132132423,613,303,[],7.516320393090095,-0.006879884026469558,4.186461514745692,40.98340525443028
Akal,798,1262,[],12.04632502444062,-1.6728510187594777e-05,6.449255311700794,-564.5393099789839
Akameki,1203,418,[],18.810667087625013,-2.6691684140293332e-05,6.978689695975312,-999.9999996119914
Akari,677,1019,[],38.44726498670032,0.0017176399243992249,3.560514369059634,5.9827894399933985
akatsuki16,706,636,[],13.097645015151619,-0.0017950207757869735,3.216236209832379,23.215481813965702
akatsuki3,423,265,[],24.9905817573968,-6.429592078666394e-05,6.99233504555409,-999.9999444151355
akh3048,1265,642,[],40.62068183953923,-2.755453829489956e-05,6.9687334290261225,-977.4865471830162
AkioTK,352,341,[],14.900378495498598,-0.006746155777283491,4.11783280645437,50.11400897039176
akureyri,74,2041,[],8.712723316672173,-0.013029721708588817,0.9229971169510219,28.35829132099638
alalal42,930,9240,[],22.049208123412907,-0.000987272592123978,3.2114454914151187,34.25843413970101
alan0218,743,2141,[],8.327267849813285,-0.008866764878684156,3.1645788987756234,45.38503817429382
albatross,1879,9073,[],6.812834887311303,0.0022345130154420136,-1.6578719828193873,36.76668950763032
alcazar,879,1487,[],13.325714506297729,-0.006909271733752596,2.9064778115891823,52.806425124193076
Alden,460,5390,[],5.047611802649448,-0.004287391448839662,4.665143073528315,30.952053479851266
Alegomonkey,797,7683,[],9.629522641023467,-0.001665517807092919,5.642255214113844,-30.126467601977403
AlexFG,908,1528,[],15.599752405880434,-0.0031310435093290416,4.2795275872712075,38.70436352859218
Alexi3TO,694,4884,[],15.660971496969873,0.0070790590614843866,-2.3860349949045836,36.50345960587315
